COHORTE;PERIODO ACADEMICO CURSA;SEDE;CAMPUS;CARRERA;AREA;MODALIDAD;TIPO PROYECTOEDUCATIVO;NRO ALUMNOS
2019 - 2020;2019 - 2020;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;88
2019 - 2020;2019 - 2020;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;75
2019 - 2020;2019 - 2020;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;115
2019 - 2020;2019 - 2020;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;1
2019 - 2020;2020 - 2020;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;35
2019 - 2020;2020 - 2020;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;48
2019 - 2020;2020 - 2020;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;78
2019 - 2020;2020 - 2020;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;1
2019 - 2020;2020 - 2021;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;32
2019 - 2020;2020 - 2021;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;43
2019 - 2020;2020 - 2021;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;72
2019 - 2020;2020 - 2021;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;1
2019 - 2020;2021 - 2021;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;31
2019 - 2020;2021 - 2021;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;41
2019 - 2020;2021 - 2021;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;67
2019 - 2020;2021 - 2021;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;1
2019 - 2020;2021 - 2022;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;32
2019 - 2020;2021 - 2022;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;37
2019 - 2020;2021 - 2022;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;67
2019 - 2020;2021 - 2022;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;1
2019 - 2020;2022 - 2022;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;11
